Id,identifier,price 
1,#2,$5.00
2,Bakugo,$5.00
3,Bakuto,$5.00
4,Cain,$5.00
5,Charizard,$5.00
6,Charmander,$5.00
7,Chibi Giyu,$5.00
8,Chibi Ichigo,$5.00
9,Chibi L,$5.00
10,Chibi Shinobu,$5.00
11,Dango Friends,$5.00
12,Echidna,$5.00
13,Emilia,$5.00
14,Happy,$5.00
15,Hatsune Miku,$5.00
16,Hawk,$5.00
17,Hinata,$5.00
18,Homura Akemi,$5.00
19,Howl,$5.00
20,Kageyama,$5.00
21,Kanae(Love Me),$5.00
22,Kaneki Chibi no Kagune,$5.00
23,Kaneki Chibi ,$5.00
24,Kikyo,$5.00
25,Kurisu,$5.00
26,Kyoko(Angel),$5.00
27,Kyoko(Love Me),$5.00
28,Kyoko(Tea Ceremony),$5.00
29,Love Me!,$5.00
30,Lucy,$5.00
31,Midoriya,$5.00
32,Totaro,$5.00
33,Naurto Pocky,$5.00
34,NaurtoMaki,$5.00
35,Natsu,$5.00
36,Nishinoya Chibi,$5.00
37,Okabe,$5.00
38,Orihime,$5.00
39,Puck,$5.00
40,Rem and Ram,$5.00
41,Ren Tsuruga(CornKuon),$5.00
42,Ren Tsuruga(CornKuon),$5.00
43,Sailor Mars Chibi,$5.00
44,Sakura Pocky,$5.00
45,Sasuke Pocky,$5.00
46,Sho Fuwa,$5.00
47,Sugawara,$5.00
48,Takoyaki Friends,$5.00
49,Tanaka,$5.00
50,Todoroki,$5.00
51,Toga 2,$5.00
52,Toga,$5.00
53,Touka Chibi,$5.00
54,Ulquiorra,$5.00
55,Uraka,$5.00
56,Yagami Light Chibi,$5.00
57,Yahiro,$5.00